 Percent |	Source code & Disassembly of go for cpu-clock (19 samples, percent: local period)
-------------------------------------------------------------------------------------------------
         :
         :
         :
         : 3      Disassembly of section .text:
         :
         : 5      0000000000536418 <crypto/internal/fips140/sha256.block.abi0>:
         : 6      crypto/internal/fips140/sha256.block.abi0():
    0.00 :   5374a2: xor     t1,t1,s0
    0.00 :   5374a6: xor     s1,s1,t2
    0.00 :   5374aa: add     t1,t1,s1
    0.00 :   5374ac: add     a6,a6,t0
    0.00 :   5374ae: add     a2,t0,t1
    0.00 :   5374b2: lwu     t0,16(s3)
    0.00 :   5374b6: lwu     t1,28(s3)
    0.00 :   5374ba: lwu     s1,60(s3)
    0.00 :   5374be: lwu     s5,24(s3)
    0.00 :   5374c2: srliw   t6,t0,0x11
    0.00 :   5374c6: slliw   t2,t0,0xf
    0.00 :   5374ca: or      t2,t6,t2
    0.00 :   5374ce: srliw   t6,t0,0x13
    0.00 :   5374d2: slliw   s0,t0,0xd
    0.00 :   5374d6: or      s0,t6,s0
    0.00 :   5374da: srli    t0,t0,0xa
    0.00 :   5374de: xor     t0,t0,t2
    0.00 :   5374e2: xor     t0,t0,s0
    0.00 :   5374e6: add     t0,t0,s1
    0.00 :   5374e8: srliw   t6,t1,0x7
    0.00 :   5374ec: slliw   t2,t1,0x19
    0.00 :   5374f0: or      t2,t6,t2
    0.00 :   5374f4: srliw   t6,t1,0x12
    0.00 :   5374f8: slliw   s0,t1,0xe
    0.00 :   5374fc: or      s0,t6,s0
    0.00 :   537500: srli    t1,t1,0x3
    0.00 :   537504: xor     t1,t1,t2
    0.00 :   537508: xor     t1,t1,s0
    0.00 :   53750c: add     t0,t0,t1
    0.00 :   53750e: add     t0,t0,s5
    0.00 :   537510: sw      t0,24(s3)
    0.00 :   537514: lwu     s0,88(s2)
    0.00 :   537518: add     a1,a1,t0
    0.00 :   53751a: srliw   t6,a6,0x6
    0.00 :   53751e: slliw   t1,a6,0x1a
    0.00 :   537522: or      t1,t6,t1
    5.26 :   537526: add     a1,a1,s0
    0.00 :   537528: srliw   t6,a6,0xb
    0.00 :   53752c: slliw   t2,a6,0x15
    0.00 :   537530: or      t2,t6,t2
    0.00 :   537534: srliw   t6,a6,0x19
    0.00 :   537538: slliw   s0,a6,0x7
    0.00 :   53753c: or      s0,t6,s0
    0.00 :   537540: xor     t1,t1,t2
    0.00 :   537544: xor     t0,a0,a7
    0.00 :   537548: xor     t1,t1,s0
    0.00 :   53754c: and     t0,t0,a6
    0.00 :   537550: add     a1,a1,t1
    0.00 :   537552: xor     t0,t0,a0
    0.00 :   537556: add     t0,t0,a1
    0.00 :   537558: srliw   t6,a2,0x2
    0.00 :   53755c: slliw   t1,a2,0x1e
    0.00 :   537560: or      t1,t6,t1
    0.00 :   537564: srliw   t6,a2,0xd
    0.00 :   537568: slliw   t2,a2,0x13
    0.00 :   53756c: or      t2,t6,t2
    0.00 :   537570: srliw   t6,a2,0x16
    0.00 :   537574: slliw   s0,a2,0xa
    0.00 :   537578: or      s0,t6,s0
    0.00 :   53757c: xor     t1,t1,t2
    0.00 :   537580: xor     s1,a4,a3
    0.00 :   537584: and     t2,a4,a3
    0.00 :   537588: and     s1,s1,a2
    0.00 :   53758a: xor     t1,t1,s0
    0.00 :   53758e: xor     s1,s1,t2
    0.00 :   537592: add     t1,t1,s1
    0.00 :   537594: add     a5,a5,t0
    0.00 :   537596: add     a1,t0,t1
    0.00 :   53759a: lwu     t0,20(s3)
    0.00 :   53759e: lwu     t1,32(s3)
    0.00 :   5375a2: lwu     s1,0(s3)
    0.00 :   5375a6: lwu     s5,28(s3)
    0.00 :   5375aa: srliw   t6,t0,0x11
    0.00 :   5375ae: slliw   t2,t0,0xf
    0.00 :   5375b2: or      t2,t6,t2
    0.00 :   5375b6: srliw   t6,t0,0x13
    0.00 :   5375ba: slliw   s0,t0,0xd
    0.00 :   5375be: or      s0,t6,s0
    0.00 :   5375c2: srli    t0,t0,0xa
    0.00 :   5375c6: xor     t0,t0,t2
    0.00 :   5375ca: xor     t0,t0,s0
    0.00 :   5375ce: add     t0,t0,s1
    0.00 :   5375d0: srliw   t6,t1,0x7
    0.00 :   5375d4: slliw   t2,t1,0x19
    0.00 :   5375d8: or      t2,t6,t2
    0.00 :   5375dc: srliw   t6,t1,0x12
    0.00 :   5375e0: slliw   s0,t1,0xe
    0.00 :   5375e4: or      s0,t6,s0
    0.00 :   5375e8: srli    t1,t1,0x3
    0.00 :   5375ec: xor     t1,t1,t2
    0.00 :   5375f0: xor     t1,t1,s0
    0.00 :   5375f4: add     t0,t0,t1
    0.00 :   5375f6: add     t0,t0,s5
    0.00 :   5375f8: sw      t0,28(s3)
    0.00 :   5375fc: lwu     s0,92(s2)
    0.00 :   537600: add     a0,a0,t0
    0.00 :   537602: srliw   t6,a5,0x6
    0.00 :   537606: slliw   t1,a5,0x1a
    0.00 :   53760a: or      t1,t6,t1
    0.00 :   53760e: add     a0,a0,s0
    0.00 :   537610: srliw   t6,a5,0xb
    0.00 :   537614: slliw   t2,a5,0x15
    0.00 :   537618: or      t2,t6,t2
    0.00 :   53761c: srliw   t6,a5,0x19
    0.00 :   537620: slliw   s0,a5,0x7
    0.00 :   537624: or      s0,t6,s0
    0.00 :   537628: xor     t1,t1,t2
    0.00 :   53762c: xor     t0,a7,a6
    0.00 :   537630: xor     t1,t1,s0
    0.00 :   537634: and     t0,t0,a5
    0.00 :   537638: add     a0,a0,t1
    0.00 :   53763a: xor     t0,t0,a7
    0.00 :   53763e: add     t0,t0,a0
    0.00 :   537640: srliw   t6,a1,0x2
    0.00 :   537644: slliw   t1,a1,0x1e
    0.00 :   537648: or      t1,t6,t1
    0.00 :   53764c: srliw   t6,a1,0xd
    0.00 :   537650: slliw   t2,a1,0x13
    0.00 :   537654: or      t2,t6,t2
    0.00 :   537658: srliw   t6,a1,0x16
    0.00 :   53765c: slliw   s0,a1,0xa
    0.00 :   537660: or      s0,t6,s0
    0.00 :   537664: xor     t1,t1,t2
    0.00 :   537668: xor     s1,a3,a2
    0.00 :   53766c: and     t2,a3,a2
    0.00 :   537670: and     s1,s1,a1
    0.00 :   537672: xor     t1,t1,s0
    0.00 :   537676: xor     s1,s1,t2
    0.00 :   53767a: add     t1,t1,s1
    0.00 :   53767c: add     a4,a4,t0
    0.00 :   53767e: add     a0,t0,t1
    0.00 :   537682: lwu     t0,24(s3)
    0.00 :   537686: lwu     t1,36(s3)
    0.00 :   53768a: lwu     s1,4(s3)
    0.00 :   53768e: lwu     s5,32(s3)
    0.00 :   537692: srliw   t6,t0,0x11
    0.00 :   537696: slliw   t2,t0,0xf
    0.00 :   53769a: or      t2,t6,t2
    0.00 :   53769e: srliw   t6,t0,0x13
    0.00 :   5376a2: slliw   s0,t0,0xd
    0.00 :   5376a6: or      s0,t6,s0
    0.00 :   5376aa: srli    t0,t0,0xa
    0.00 :   5376ae: xor     t0,t0,t2
    0.00 :   5376b2: xor     t0,t0,s0
    0.00 :   5376b6: add     t0,t0,s1
    0.00 :   5376b8: srliw   t6,t1,0x7
    0.00 :   5376bc: slliw   t2,t1,0x19
    0.00 :   5376c0: or      t2,t6,t2
    0.00 :   5376c4: srliw   t6,t1,0x12
    0.00 :   5376c8: slliw   s0,t1,0xe
    0.00 :   5376cc: or      s0,t6,s0
    0.00 :   5376d0: srli    t1,t1,0x3
    0.00 :   5376d4: xor     t1,t1,t2
    0.00 :   5376d8: xor     t1,t1,s0
    0.00 :   5376dc: add     t0,t0,t1
    0.00 :   5376de: add     t0,t0,s5
    0.00 :   5376e0: sw      t0,32(s3)
    0.00 :   5376e4: lwu     s0,96(s2)
    0.00 :   5376e8: add     a7,a7,t0
    0.00 :   5376ea: srliw   t6,a4,0x6
    0.00 :   5376ee: slliw   t1,a4,0x1a
    0.00 :   5376f2: or      t1,t6,t1
    0.00 :   5376f6: add     a7,a7,s0
    0.00 :   5376f8: srliw   t6,a4,0xb
    0.00 :   5376fc: slliw   t2,a4,0x15
    0.00 :   537700: or      t2,t6,t2
    0.00 :   537704: srliw   t6,a4,0x19
    0.00 :   537708: slliw   s0,a4,0x7
    0.00 :   53770c: or      s0,t6,s0
    0.00 :   537710: xor     t1,t1,t2
    0.00 :   537714: xor     t0,a6,a5
    0.00 :   537718: xor     t1,t1,s0
    0.00 :   53771c: and     t0,t0,a4
    0.00 :   537720: add     a7,a7,t1
    0.00 :   537722: xor     t0,t0,a6
    0.00 :   537726: add     t0,t0,a7
    0.00 :   537728: srliw   t6,a0,0x2
    0.00 :   53772c: slliw   t1,a0,0x1e
    0.00 :   537730: or      t1,t6,t1
    0.00 :   537734: srliw   t6,a0,0xd
    0.00 :   537738: slliw   t2,a0,0x13
    0.00 :   53773c: or      t2,t6,t2
    0.00 :   537740: srliw   t6,a0,0x16
    0.00 :   537744: slliw   s0,a0,0xa
    0.00 :   537748: or      s0,t6,s0
    0.00 :   53774c: xor     t1,t1,t2
    0.00 :   537750: xor     s1,a2,a1
    0.00 :   537754: and     t2,a2,a1
    0.00 :   537758: and     s1,s1,a0
    0.00 :   53775a: xor     t1,t1,s0
    0.00 :   53775e: xor     s1,s1,t2
    0.00 :   537762: add     t1,t1,s1
    0.00 :   537764: add     a3,a3,t0
    0.00 :   537766: add     a7,t0,t1
    0.00 :   53776a: lwu     t0,28(s3)
    0.00 :   53776e: lwu     t1,40(s3)
    0.00 :   537772: lwu     s1,8(s3)
    0.00 :   537776: lwu     s5,36(s3)
    0.00 :   53777a: srliw   t6,t0,0x11
    0.00 :   53777e: slliw   t2,t0,0xf
    0.00 :   537782: or      t2,t6,t2
    0.00 :   537786: srliw   t6,t0,0x13
    0.00 :   53778a: slliw   s0,t0,0xd
    0.00 :   53778e: or      s0,t6,s0
    0.00 :   537792: srli    t0,t0,0xa
    0.00 :   537796: xor     t0,t0,t2
    0.00 :   53779a: xor     t0,t0,s0
    0.00 :   53779e: add     t0,t0,s1
    0.00 :   5377a0: srliw   t6,t1,0x7
    0.00 :   5377a4: slliw   t2,t1,0x19
    0.00 :   5377a8: or      t2,t6,t2
    0.00 :   5377ac: srliw   t6,t1,0x12
    0.00 :   5377b0: slliw   s0,t1,0xe
    0.00 :   5377b4: or      s0,t6,s0
    0.00 :   5377b8: srli    t1,t1,0x3
    0.00 :   5377bc: xor     t1,t1,t2
    0.00 :   5377c0: xor     t1,t1,s0
    0.00 :   5377c4: add     t0,t0,t1
    0.00 :   5377c6: add     t0,t0,s5
    0.00 :   5377c8: sw      t0,36(s3)
    0.00 :   5377cc: lwu     s0,100(s2)
    0.00 :   5377d0: add     a6,a6,t0
    0.00 :   5377d2: srliw   t6,a3,0x6
    0.00 :   5377d6: slliw   t1,a3,0x1a
    0.00 :   5377da: or      t1,t6,t1
    0.00 :   5377de: add     a6,a6,s0
    0.00 :   5377e0: srliw   t6,a3,0xb
    0.00 :   5377e4: slliw   t2,a3,0x15
    0.00 :   5377e8: or      t2,t6,t2
    0.00 :   5377ec: srliw   t6,a3,0x19
    0.00 :   5377f0: slliw   s0,a3,0x7
    0.00 :   5377f4: or      s0,t6,s0
    0.00 :   5377f8: xor     t1,t1,t2
    0.00 :   5377fc: xor     t0,a5,a4
    0.00 :   537800: xor     t1,t1,s0
    0.00 :   537804: and     t0,t0,a3
    0.00 :   537808: add     a6,a6,t1
    0.00 :   53780a: xor     t0,t0,a5
    0.00 :   53780e: add     t0,t0,a6
    0.00 :   537810: srliw   t6,a7,0x2
    0.00 :   537814: slliw   t1,a7,0x1e
    0.00 :   537818: or      t1,t6,t1
    0.00 :   53781c: srliw   t6,a7,0xd
    0.00 :   537820: slliw   t2,a7,0x13
    0.00 :   537824: or      t2,t6,t2
    0.00 :   537828: srliw   t6,a7,0x16
    0.00 :   53782c: slliw   s0,a7,0xa
    0.00 :   537830: or      s0,t6,s0
    0.00 :   537834: xor     t1,t1,t2
    0.00 :   537838: xor     s1,a1,a0
    5.26 :   53783c: and     t2,a1,a0
    0.00 :   537840: and     s1,s1,a7
    0.00 :   537844: xor     t1,t1,s0
    0.00 :   537848: xor     s1,s1,t2
    0.00 :   53784c: add     t1,t1,s1
    0.00 :   53784e: add     a2,a2,t0
    0.00 :   537850: add     a6,t0,t1
    0.00 :   537854: lwu     t0,32(s3)
    0.00 :   537858: lwu     t1,44(s3)
    0.00 :   53785c: lwu     s1,12(s3)
    0.00 :   537860: lwu     s5,40(s3)
    0.00 :   537864: srliw   t6,t0,0x11
    0.00 :   537868: slliw   t2,t0,0xf
    0.00 :   53786c: or      t2,t6,t2
    0.00 :   537870: srliw   t6,t0,0x13
    0.00 :   537874: slliw   s0,t0,0xd
    0.00 :   537878: or      s0,t6,s0
    0.00 :   53787c: srli    t0,t0,0xa
    0.00 :   537880: xor     t0,t0,t2
    0.00 :   537884: xor     t0,t0,s0
    0.00 :   537888: add     t0,t0,s1
    0.00 :   53788a: srliw   t6,t1,0x7
    0.00 :   53788e: slliw   t2,t1,0x19
    0.00 :   537892: or      t2,t6,t2
    0.00 :   537896: srliw   t6,t1,0x12
    0.00 :   53789a: slliw   s0,t1,0xe
    0.00 :   53789e: or      s0,t6,s0
    0.00 :   5378a2: srli    t1,t1,0x3
    0.00 :   5378a6: xor     t1,t1,t2
    0.00 :   5378aa: xor     t1,t1,s0
    0.00 :   5378ae: add     t0,t0,t1
    0.00 :   5378b0: add     t0,t0,s5
    0.00 :   5378b2: sw      t0,40(s3)
    0.00 :   5378b6: lwu     s0,104(s2)
    0.00 :   5378ba: add     a5,a5,t0
    0.00 :   5378bc: srliw   t6,a2,0x6
    0.00 :   5378c0: slliw   t1,a2,0x1a
    0.00 :   5378c4: or      t1,t6,t1
    0.00 :   5378c8: add     a5,a5,s0
    0.00 :   5378ca: srliw   t6,a2,0xb
    0.00 :   5378ce: slliw   t2,a2,0x15
    0.00 :   5378d2: or      t2,t6,t2
    0.00 :   5378d6: srliw   t6,a2,0x19
    0.00 :   5378da: slliw   s0,a2,0x7
    0.00 :   5378de: or      s0,t6,s0
    0.00 :   5378e2: xor     t1,t1,t2
    0.00 :   5378e6: xor     t0,a4,a3
    0.00 :   5378ea: xor     t1,t1,s0
    0.00 :   5378ee: and     t0,t0,a2
    0.00 :   5378f2: add     a5,a5,t1
    0.00 :   5378f4: xor     t0,t0,a4
    0.00 :   5378f8: add     t0,t0,a5
    0.00 :   5378fa: srliw   t6,a6,0x2
    0.00 :   5378fe: slliw   t1,a6,0x1e
    0.00 :   537902: or      t1,t6,t1
    0.00 :   537906: srliw   t6,a6,0xd
    0.00 :   53790a: slliw   t2,a6,0x13
    0.00 :   53790e: or      t2,t6,t2
    0.00 :   537912: srliw   t6,a6,0x16
    0.00 :   537916: slliw   s0,a6,0xa
    0.00 :   53791a: or      s0,t6,s0
    0.00 :   53791e: xor     t1,t1,t2
    0.00 :   537922: xor     s1,a0,a7
    0.00 :   537926: and     t2,a0,a7
    0.00 :   53792a: and     s1,s1,a6
    0.00 :   53792e: xor     t1,t1,s0
    0.00 :   537932: xor     s1,s1,t2
    0.00 :   537936: add     t1,t1,s1
    0.00 :   537938: add     a1,a1,t0
    0.00 :   53793a: add     a5,t0,t1
    0.00 :   53793e: lwu     t0,36(s3)
    0.00 :   537942: lwu     t1,48(s3)
    0.00 :   537946: lwu     s1,16(s3)
    0.00 :   53794a: lwu     s5,44(s3)
    0.00 :   53794e: srliw   t6,t0,0x11
    0.00 :   537952: slliw   t2,t0,0xf
    0.00 :   537956: or      t2,t6,t2
    0.00 :   53795a: srliw   t6,t0,0x13
    0.00 :   53795e: slliw   s0,t0,0xd
    0.00 :   537962: or      s0,t6,s0
    0.00 :   537966: srli    t0,t0,0xa
    0.00 :   53796a: xor     t0,t0,t2
    0.00 :   53796e: xor     t0,t0,s0
    0.00 :   537972: add     t0,t0,s1
    0.00 :   537974: srliw   t6,t1,0x7
    0.00 :   537978: slliw   t2,t1,0x19
    0.00 :   53797c: or      t2,t6,t2
    0.00 :   537980: srliw   t6,t1,0x12
    0.00 :   537984: slliw   s0,t1,0xe
    0.00 :   537988: or      s0,t6,s0
    0.00 :   53798c: srli    t1,t1,0x3
    0.00 :   537990: xor     t1,t1,t2
    0.00 :   537994: xor     t1,t1,s0
    0.00 :   537998: add     t0,t0,t1
    0.00 :   53799a: add     t0,t0,s5
    0.00 :   53799c: sw      t0,44(s3)
    0.00 :   5379a0: lwu     s0,108(s2)
    0.00 :   5379a4: add     a4,a4,t0
    0.00 :   5379a6: srliw   t6,a1,0x6
    0.00 :   5379aa: slliw   t1,a1,0x1a
    0.00 :   5379ae: or      t1,t6,t1
    0.00 :   5379b2: add     a4,a4,s0
    0.00 :   5379b4: srliw   t6,a1,0xb
    0.00 :   5379b8: slliw   t2,a1,0x15
    0.00 :   5379bc: or      t2,t6,t2
    0.00 :   5379c0: srliw   t6,a1,0x19
    0.00 :   5379c4: slliw   s0,a1,0x7
    0.00 :   5379c8: or      s0,t6,s0
    0.00 :   5379cc: xor     t1,t1,t2
    0.00 :   5379d0: xor     t0,a3,a2
    0.00 :   5379d4: xor     t1,t1,s0
    0.00 :   5379d8: and     t0,t0,a1
    0.00 :   5379dc: add     a4,a4,t1
    0.00 :   5379de: xor     t0,t0,a3
    0.00 :   5379e2: add     t0,t0,a4
    0.00 :   5379e4: srliw   t6,a5,0x2
    0.00 :   5379e8: slliw   t1,a5,0x1e
    0.00 :   5379ec: or      t1,t6,t1
    0.00 :   5379f0: srliw   t6,a5,0xd
    0.00 :   5379f4: slliw   t2,a5,0x13
    0.00 :   5379f8: or      t2,t6,t2
    0.00 :   5379fc: srliw   t6,a5,0x16
    0.00 :   537a00: slliw   s0,a5,0xa
    0.00 :   537a04: or      s0,t6,s0
    0.00 :   537a08: xor     t1,t1,t2
    0.00 :   537a0c: xor     s1,a7,a6
    0.00 :   537a10: and     t2,a7,a6
    0.00 :   537a14: and     s1,s1,a5
    0.00 :   537a16: xor     t1,t1,s0
    0.00 :   537a1a: xor     s1,s1,t2
    0.00 :   537a1e: add     t1,t1,s1
    0.00 :   537a20: add     a0,a0,t0
    0.00 :   537a22: add     a4,t0,t1
    0.00 :   537a26: lwu     t0,40(s3)
    0.00 :   537a2a: lwu     t1,52(s3)
    0.00 :   537a2e: lwu     s1,20(s3)
    0.00 :   537a32: lwu     s5,48(s3)
    0.00 :   537a36: srliw   t6,t0,0x11
    0.00 :   537a3a: slliw   t2,t0,0xf
    0.00 :   537a3e: or      t2,t6,t2
    0.00 :   537a42: srliw   t6,t0,0x13
    0.00 :   537a46: slliw   s0,t0,0xd
    0.00 :   537a4a: or      s0,t6,s0
    0.00 :   537a4e: srli    t0,t0,0xa
    0.00 :   537a52: xor     t0,t0,t2
    0.00 :   537a56: xor     t0,t0,s0
    0.00 :   537a5a: add     t0,t0,s1
    0.00 :   537a5c: srliw   t6,t1,0x7
    0.00 :   537a60: slliw   t2,t1,0x19
    0.00 :   537a64: or      t2,t6,t2
    0.00 :   537a68: srliw   t6,t1,0x12
    0.00 :   537a6c: slliw   s0,t1,0xe
    0.00 :   537a70: or      s0,t6,s0
    0.00 :   537a74: srli    t1,t1,0x3
    0.00 :   537a78: xor     t1,t1,t2
    0.00 :   537a7c: xor     t1,t1,s0
    0.00 :   537a80: add     t0,t0,t1
    0.00 :   537a82: add     t0,t0,s5
    0.00 :   537a84: sw      t0,48(s3)
    0.00 :   537a88: lwu     s0,112(s2)
    0.00 :   537a8c: add     a3,a3,t0
    0.00 :   537a8e: srliw   t6,a0,0x6
    0.00 :   537a92: slliw   t1,a0,0x1a
    0.00 :   537a96: or      t1,t6,t1
    0.00 :   537a9a: add     a3,a3,s0
    0.00 :   537a9c: srliw   t6,a0,0xb
    0.00 :   537aa0: slliw   t2,a0,0x15
    0.00 :   537aa4: or      t2,t6,t2
    0.00 :   537aa8: srliw   t6,a0,0x19
    0.00 :   537aac: slliw   s0,a0,0x7
    0.00 :   537ab0: or      s0,t6,s0
    0.00 :   537ab4: xor     t1,t1,t2
    0.00 :   537ab8: xor     t0,a2,a1
    0.00 :   537abc: xor     t1,t1,s0
    0.00 :   537ac0: and     t0,t0,a0
    0.00 :   537ac4: add     a3,a3,t1
    0.00 :   537ac6: xor     t0,t0,a2
    0.00 :   537aca: add     t0,t0,a3
    0.00 :   537acc: srliw   t6,a4,0x2
    0.00 :   537ad0: slliw   t1,a4,0x1e
    0.00 :   537ad4: or      t1,t6,t1
    0.00 :   537ad8: srliw   t6,a4,0xd
    0.00 :   537adc: slliw   t2,a4,0x13
    0.00 :   537ae0: or      t2,t6,t2
    0.00 :   537ae4: srliw   t6,a4,0x16
    0.00 :   537ae8: slliw   s0,a4,0xa
    0.00 :   537aec: or      s0,t6,s0
    0.00 :   537af0: xor     t1,t1,t2
    0.00 :   537af4: xor     s1,a6,a5
    0.00 :   537af8: and     t2,a6,a5
    0.00 :   537afc: and     s1,s1,a4
    0.00 :   537afe: xor     t1,t1,s0
    0.00 :   537b02: xor     s1,s1,t2
    0.00 :   537b06: add     t1,t1,s1
    0.00 :   537b08: add     a7,a7,t0
    0.00 :   537b0a: add     a3,t0,t1
    0.00 :   537b0e: lwu     t0,44(s3)
    0.00 :   537b12: lwu     t1,56(s3)
    0.00 :   537b16: lwu     s1,24(s3)
    0.00 :   537b1a: lwu     s5,52(s3)
    0.00 :   537b1e: srliw   t6,t0,0x11
    0.00 :   537b22: slliw   t2,t0,0xf
    0.00 :   537b26: or      t2,t6,t2
    0.00 :   537b2a: srliw   t6,t0,0x13
    0.00 :   537b2e: slliw   s0,t0,0xd
    0.00 :   537b32: or      s0,t6,s0
    0.00 :   537b36: srli    t0,t0,0xa
    0.00 :   537b3a: xor     t0,t0,t2
    0.00 :   537b3e: xor     t0,t0,s0
    0.00 :   537b42: add     t0,t0,s1
    0.00 :   537b44: srliw   t6,t1,0x7
    0.00 :   537b48: slliw   t2,t1,0x19
    0.00 :   537b4c: or      t2,t6,t2
    0.00 :   537b50: srliw   t6,t1,0x12
    0.00 :   537b54: slliw   s0,t1,0xe
    0.00 :   537b58: or      s0,t6,s0
    0.00 :   537b5c: srli    t1,t1,0x3
    0.00 :   537b60: xor     t1,t1,t2
    0.00 :   537b64: xor     t1,t1,s0
    0.00 :   537b68: add     t0,t0,t1
    0.00 :   537b6a: add     t0,t0,s5
    0.00 :   537b6c: sw      t0,52(s3)
    0.00 :   537b70: lwu     s0,116(s2)
    0.00 :   537b74: add     a2,a2,t0
    0.00 :   537b76: srliw   t6,a7,0x6
    0.00 :   537b7a: slliw   t1,a7,0x1a
    0.00 :   537b7e: or      t1,t6,t1
    0.00 :   537b82: add     a2,a2,s0
    5.26 :   537b84: srliw   t6,a7,0xb
    0.00 :   537b88: slliw   t2,a7,0x15
    0.00 :   537b8c: or      t2,t6,t2
    0.00 :   537b90: srliw   t6,a7,0x19
    0.00 :   537b94: slliw   s0,a7,0x7
    0.00 :   537b98: or      s0,t6,s0
    0.00 :   537b9c: xor     t1,t1,t2
    0.00 :   537ba0: xor     t0,a1,a0
    0.00 :   537ba4: xor     t1,t1,s0
    0.00 :   537ba8: and     t0,t0,a7
    0.00 :   537bac: add     a2,a2,t1
    0.00 :   537bae: xor     t0,t0,a1
    0.00 :   537bb2: add     t0,t0,a2
    0.00 :   537bb4: srliw   t6,a3,0x2
    0.00 :   537bb8: slliw   t1,a3,0x1e
    0.00 :   537bbc: or      t1,t6,t1
    0.00 :   537bc0: srliw   t6,a3,0xd
    0.00 :   537bc4: slliw   t2,a3,0x13
    0.00 :   537bc8: or      t2,t6,t2
    0.00 :   537bcc: srliw   t6,a3,0x16
    0.00 :   537bd0: slliw   s0,a3,0xa
    0.00 :   537bd4: or      s0,t6,s0
    0.00 :   537bd8: xor     t1,t1,t2
    0.00 :   537bdc: xor     s1,a5,a4
    0.00 :   537be0: and     t2,a5,a4
    0.00 :   537be4: and     s1,s1,a3
    5.26 :   537be6: xor     t1,t1,s0
    0.00 :   537bea: xor     s1,s1,t2
    0.00 :   537bee: add     t1,t1,s1
    0.00 :   537bf0: add     a6,a6,t0
    0.00 :   537bf2: add     a2,t0,t1
    0.00 :   537bf6: lwu     t0,48(s3)
    0.00 :   537bfa: lwu     t1,60(s3)
    0.00 :   537bfe: lwu     s1,28(s3)
    0.00 :   537c02: lwu     s5,56(s3)
    0.00 :   537c06: srliw   t6,t0,0x11
    0.00 :   537c0a: slliw   t2,t0,0xf
    0.00 :   537c0e: or      t2,t6,t2
    0.00 :   537c12: srliw   t6,t0,0x13
    0.00 :   537c16: slliw   s0,t0,0xd
    0.00 :   537c1a: or      s0,t6,s0
    0.00 :   537c1e: srli    t0,t0,0xa
    0.00 :   537c22: xor     t0,t0,t2
    0.00 :   537c26: xor     t0,t0,s0
    0.00 :   537c2a: add     t0,t0,s1
    0.00 :   537c2c: srliw   t6,t1,0x7
    0.00 :   537c30: slliw   t2,t1,0x19
    0.00 :   537c34: or      t2,t6,t2
    0.00 :   537c38: srliw   t6,t1,0x12
    0.00 :   537c3c: slliw   s0,t1,0xe
    0.00 :   537c40: or      s0,t6,s0
    0.00 :   537c44: srli    t1,t1,0x3
    0.00 :   537c48: xor     t1,t1,t2
    0.00 :   537c4c: xor     t1,t1,s0
    0.00 :   537c50: add     t0,t0,t1
    0.00 :   537c52: add     t0,t0,s5
    0.00 :   537c54: sw      t0,56(s3)
    0.00 :   537c58: lwu     s0,120(s2)
    0.00 :   537c5c: add     a1,a1,t0
    0.00 :   537c5e: srliw   t6,a6,0x6
    0.00 :   537c62: slliw   t1,a6,0x1a
    0.00 :   537c66: or      t1,t6,t1
    0.00 :   537c6a: add     a1,a1,s0
    0.00 :   537c6c: srliw   t6,a6,0xb
    0.00 :   537c70: slliw   t2,a6,0x15
    0.00 :   537c74: or      t2,t6,t2
    0.00 :   537c78: srliw   t6,a6,0x19
    0.00 :   537c7c: slliw   s0,a6,0x7
    0.00 :   537c80: or      s0,t6,s0
    0.00 :   537c84: xor     t1,t1,t2
    0.00 :   537c88: xor     t0,a0,a7
    0.00 :   537c8c: xor     t1,t1,s0
    0.00 :   537c90: and     t0,t0,a6
    0.00 :   537c94: add     a1,a1,t1
    0.00 :   537c96: xor     t0,t0,a0
    0.00 :   537c9a: add     t0,t0,a1
    0.00 :   537c9c: srliw   t6,a2,0x2
    0.00 :   537ca0: slliw   t1,a2,0x1e
    0.00 :   537ca4: or      t1,t6,t1
    0.00 :   537ca8: srliw   t6,a2,0xd
    0.00 :   537cac: slliw   t2,a2,0x13
    0.00 :   537cb0: or      t2,t6,t2
    0.00 :   537cb4: srliw   t6,a2,0x16
    0.00 :   537cb8: slliw   s0,a2,0xa
    0.00 :   537cbc: or      s0,t6,s0
    0.00 :   537cc0: xor     t1,t1,t2
    0.00 :   537cc4: xor     s1,a4,a3
    0.00 :   537cc8: and     t2,a4,a3
    0.00 :   537ccc: and     s1,s1,a2
    0.00 :   537cce: xor     t1,t1,s0
    0.00 :   537cd2: xor     s1,s1,t2
    0.00 :   537cd6: add     t1,t1,s1
    0.00 :   537cd8: add     a5,a5,t0
    0.00 :   537cda: add     a1,t0,t1
    0.00 :   537cde: lwu     t0,52(s3)
    0.00 :   537ce2: lwu     t1,0(s3)
    0.00 :   537ce6: lwu     s1,32(s3)
    0.00 :   537cea: lwu     s5,60(s3)
    0.00 :   537cee: srliw   t6,t0,0x11
    0.00 :   537cf2: slliw   t2,t0,0xf
    0.00 :   537cf6: or      t2,t6,t2
    0.00 :   537cfa: srliw   t6,t0,0x13
    0.00 :   537cfe: slliw   s0,t0,0xd
    0.00 :   537d02: or      s0,t6,s0
    0.00 :   537d06: srli    t0,t0,0xa
    0.00 :   537d0a: xor     t0,t0,t2
    0.00 :   537d0e: xor     t0,t0,s0
    0.00 :   537d12: add     t0,t0,s1
